astonish,驚かす
spectator,観客
optimistic,楽観的
confine,制限する
retail,小売り
vivid,鮮やか
prosperity,繁栄する
parliament,議会
correspond,一致する
conform,従う
induce,誘発する
oblige,〜しなければならない
provoke,挑発する
soar,急上昇
scenery,景色
contradict,矛盾する
strive,努力
hostile,敵対的
justify,正当化する
expel,追放する
distribute,分配する
prevent,防ぐ
resume,再開する
hinder,妨げる
mere,単なる
eager,しきりに〜したがる
discard,破棄する
orphan,孤児
misery,惨め
jealous,嫉妬
vocation,職業
contemplate,熟考する
conceive,想像する
conceit,うぬぼれ
superstition,迷信
currency,通貨
diminish,減少する
comprise,〜から成る
decay,腐敗する
